Gene,LA3475,LA1316,LA1589,LA1777,LA2172,LA3778,LA4117,LA0716
Solyc05g008520.3.1,10.78548315,10.45412113,9.075209025,12.57125338,13.29182154,16.23865584,8.820218224,15.50729628
Solyc05g008530.3.1,11.01838484,7.724251425,10.56866673,6.285626688,8.086938386,7.969963473,7.903309105,6.564410402
Solyc05g008560.1.1,7.679750565,17.32200955,13.51790927,10.68556537,11.00640765,23.40153234,15.1203741,15.15703119
Solyc05g008565.1.1,2.819540612,3.723880997,2.281306514,2.514250675,4.620517602,3.936734262,3.920714088,4.478228182
Solyc05g008580.3.1,3.056638342,4.776833086,2.564175445,3.771376013,5.027186575,9.347770733,2.981657323,11.10968567
Solyc05g008590.3.1,17.72431263,22.41354504,21.16314358,18.85688006,23.89031467,18.55197211,18.43100548,26.03011373
Solyc05g008595.1.1,9.50654063,8.180210931,9.432862814,7.542752026,15.5753003,3.780898981,7.034992327,10.00775672
Solyc05g008600.3.1,81.00962577,64.50012271,60.31889141,63.48482955,66.64587585,60.64602404,80.45826994,83.99348713
Solyc05g008610.3.1,6.830244601,6.618066111,5.562503129,5.028501351,6.79245113,5.056833799,5.909581979,6.594657151
Solyc05g008620.3.1,3.473409804,5.373367946,4.22379568,3.142813344,6.791434802,0.831121499,0.509327905,4.410092512
Solyc05g008630.3.1,12.00849388,10.63664049,13.4243675,8.171314695,8.806979546,13.56524311,12.54200094,9.088631662
Solyc05g008633.1.1,14.0626017,16.55294093,13.92750392,14.70836645,14.4238971,16.53731337,22.69016073,17.02501817
Solyc05g008637.1.1,45.16392528,33.8322187,29.81080306,34.57094679,46.51414554,45.02935783,40.8358794,48.70490894
Solyc05g008640.1.1,64.85804674,76.27464524,68.23078904,82.34170962,54.77664725,105.3159611,48.23700083,39.29949563
Solyc05g008750.3.1,5.889071652,7.069407869,7.252111502,6.599908023,9.113694478,3.884789168,8.634575438,5.731027699
Solyc05g008770.3.1,7.86111153,2.790263647,3.160051613,5.028501351,2.248763154,4.600927623,2.363574969,6.353435469
Solyc05g008780.3.1,9.058012991,10.06763198,13.97825395,10.5957707,9.894388414,14.22201575,13.39388411,14.31018245
Solyc05g008790.3.1,5.507677223,3.682612744,4.970804988,5.028501351,4.809353977,2.845887295,5.5706746,4.429172923
Solyc05g008800.3.1,14.10439318,21.8719311,14.33533547,5.028501351,19.88056383,21.05291027,17.04622056,14.57196425
Solyc05g008805.1.1,3.064773437,5.736700808,3.899526345,2.199969341,3.890381006,4.471064888,3.461763584,2.603512566
Solyc05g008815.1.1,4.082291599,4.531441448,3.226393559,6.704668467,6.648548536,2.887912595,5.284210773,3.240438406
Solyc05g008830.3.1,56.94721734,42.50650176,39.50505289,51.85642018,60.4665926,52.51323815,47.38018758,39.637164
Solyc05g008860.3.1,106.1303652,99.38015755,29.67802499,132.3124418,87.083824,172.8681068,36.0476417,145.6057618
Solyc05g008870.3.1,6.100550703,5.97243455,6.011424184,10.84270604,5.808005898,6.238144781,3.605706294,7.824043996
Solyc05g008900.3.1,18.66004755,14.62204818,15.47079196,11.31412804,17.38196575,9.982204714,12.83196865,23.75928003
Solyc05g008920.3.1,20.96706571,26.89314831,18.15656292,29.2281641,40.3580178,14.39023165,5.993395701,11.9626899
Solyc05g008930.3.1,8.165189918,20.81421921,5.636403197,13.19981605,14.74700248,8.666262341,18.81286893,11.68400187
Solyc05g009020.3.1,6.08933696,8.978371039,4.454696963,5.028501351,8.780374076,9.122675327,6.347029395,7.271178358
Solyc05g009030.3.1,6.850934834,4.631114218,5.406410249,5.657064019,4.959791087,4.037851235,7.243195903,4.628730112
Solyc05g009070.3.1,5.886049141,7.248219808,7.34623406,5.657064019,5.604740909,6.496856631,13.30395976,3.335557297
Solyc05g009100.3.1,56.08805895,97.63716455,63.39901581,100.8843083,95.0765011,67.35113606,54.07265231,49.75696232
Solyc05g009130.3.1,8.953278296,0.700316875,2.096307546,1.257125338,5.084291322,3.053667669,3.666050136,9.004257728
Solyc05g009140.3.1,3.041924865,2.676312241,2.441569467,2.388538142,1.814909915,3.631015576,2.191141283,3.064024796
Solyc05g009150.3.1,5.920917694,5.428230823,6.572581503,6.465216022,5.663062625,4.984138815,7.658731939,4.651712201
Solyc05g009160.3.1,6.1681414,5.718012642,4.936117682,4.085657347,6.787688945,6.094349065,5.778927856,6.063638555
Solyc05g009190.3.1,7.594320736,10.31745725,7.986651086,11.31412804,10.56637196,9.798103635,13.39235405,12.11029107
Solyc05g009220.3.1,6.205282171,6.161780826,7.722108757,3.938992725,5.609958462,4.281321226,6.072902011,4.903069091
Solyc05g009230.2.1,210.3153288,116.7850815,60.35657894,146.8741436,78.44236508,138.2794452,49.01685951,87.82018038
